stcode,ABBcode,AnyCong,NoCong,EvanProt,Catholic,MainProt,Other,CongSession,YrElected,stateabbr,CDnum
34,NJ05,63.419613,36.580387,2.5642035,44.575672,7.8620052,8.4177322,106,1998,NJ,5
34,NJ11,55.966129,44.033871,2.3617611,37.404953,8.1743279,8.0250874,106,1998,NJ,11
34,NJ09,72.385231,27.614769,2.097198,53.744125,6.1430125,10.400895,106,1998,NJ,9
34,NJ03,50.80851,49.19149,2.7476468,35.690472,7.4571762,4.9132152,106,1998,NJ,3
34,NJ06,63.551113,36.448887,1.6135426,46.24226,5.7670288,9.9282818,106,1998,NJ,6
34,NJ13,61.163857,38.836143,1.9760147,48.129585,3.7575073,7.3007493,106,1998,NJ,13
34,NJ02,41.857208,58.142792,3.4911964,25.847399,8.4596691,4.0589437,106,1998,NJ,2
34,NJ10,60.026073,39.973927,2.039506,40.865288,6.4319315,10.689348,106,1998,NJ,10
34,NJ04,53.900028,46.099972,2.2863944,37.755466,7.7373323,6.1208353,106,1998,NJ,4
34,NJ08,51.995037,48.004963,2.8093476,33.664024,4.7759423,10.745723,106,1998,NJ,8
35,NM03,53.222492,46.777508,11.620006,33.102325,4.3218808,4.1782804,106,1998,NM,3
35,NM02,66.333939,33.666061,17.002781,42.050964,4.892045,2.3881483,106,1998,NM,2
35,NM01,55.149418,44.850582,10.65208,35.623634,5.4670868,3.4066172,106,1998,NM,1
36,NY16,56.309685,43.690315,2.3574083,43.659176,2.6740706,7.61903,106,1998,NY,16
36,NY23,46.486141,53.513859,3.3685901,27.401968,14.338326,1.3772576,106,1998,NY,23
36,NY07,49.989056,50.010944,1.9693304,32.166737,2.8479543,13.005034,106,1998,NY,7
36,NY25,49.703533,50.296467,3.7850175,30.44805,12.145082,3.3253846,106,1998,NY,25
36,NY01,67.9683,32.0317,2.2676275,51.725384,5.487298,8.4879904,106,1998,NY,1
36,NY19,65.177788,34.822212,2.551275,48.959923,6.6700592,6.9965305,106,1998,NY,19
36,NY18,63.175552,36.824448,1.9599714,43.938934,4.9500475,12.326599,106,1998,NY,18
36,NY22,45.135864,54.864136,2.5524828,29.680157,11.560006,1.3432186,106,1998,NY,22
36,NY15,69.657944,30.342056,2.0969169,36.875034,6.9042206,23.781773,106,1998,NY,15
36,NY24,49.940613,50.059387,3.9119415,34.963779,10.28925,.77564144,106,1998,NY,24
36,NY31,45.078625,54.921375,7.0498481,23.054623,13.767249,1.2069049,106,1998,NY,31
36,NY12,63.024624,36.975376,3.0662913,36.225796,4.5990314,19.133505,106,1998,NY,12
36,NY26,48.919777,51.080223,3.1044159,30.053389,11.4505,4.3114719,106,1998,NY,26
36,NY30,74.382408,25.617592,4.7257347,57.273708,8.8946762,3.4882889,106,1998,NY,30
36,NY17,59.262527,40.737473,2.2792733,45.162235,3.3736403,8.4473782,106,1998,NY,17
36,NY04,75.997124,24.002876,1.59148,52.031929,5.0334797,17.340235,106,1998,NY,4
36,NY10,62.966763,37.033237,3.4905725,37.013721,4.1451311,18.317337,106,1998,NY,10
36,NY29,61.968178,38.031822,5.8362637,43.055267,10.488209,2.588438,106,1998,NY,29
36,NY20,72.318863,27.681137,2.441673,45.307507,5.351532,19.218151,106,1998,NY,20
36,NY27,53.90741,46.09259,3.8146894,36.018875,12.175393,1.898452,106,1998,NY,27
36,NY14,64.925972,35.074028,2.037374,34.912849,6.0511513,21.924597,106,1998,NY,14
36,NY21,62.950935,37.049065,2.86199,45.175869,10.440546,4.4725304,106,1998,NY,21
36,NY02,67.9683,32.0317,2.2676272,51.72538,5.4872975,8.4879951,106,1998,NY,2
36,NY05,59.523548,40.476452,1.9102076,40.031116,4.0549746,13.527249,106,1998,NY,5
36,NY09,55.497696,44.502304,2.66589,32.908337,3.5146534,16.408815,106,1998,NY,9
36,NY03,75.997124,24.002876,1.5914799,52.031929,5.0334792,17.340235,106,1998,NY,3
36,NY28,54.273045,45.726955,4.287931,35.714489,9.2906303,4.9799943,106,1998,NY,28
36,NY06,48.186874,51.813126,1.8586792,28.889929,2.8975334,14.540733,106,1998,NY,6
